D,d,theta,z,width,case_id,case_label,case,quantity_id,quantity_id,quantity_label,y_value,y_ratio,mu_c,mu_c_baseline,mu_ratio_to_baseline,source_file,source_status,notes
3,1,0.0,1.5,0.05,case_IIIa,Case III-a: homogeneous adjoint scalar,III-a_Phi_0p4,mu_c,mu_c,critical chemical potential,10.952606704193652,1.0,10.952606704193652,10.952606704193652,1.0,v98_FULL_D345_off_locus_HEE_all_cases.csv,strict_or_selection_rule,"At leading O(delta^2 epsilon^2), an epsilon-independent homogeneous isotropic dark source does not alter this anisotropy-induced coefficient."
3,1,0.0,2.0,0.05,case_IIIa,Case III-a: homogeneous adjoint scalar,III-a_Phi_0p4,mu_c,mu_c,critical chemical potential,12.79379359574271,1.0,12.79379359574271,12.79379359574271,1.0,v98_FULL_D345_off_locus_HEE_all_cases.csv,strict_or_selection_rule,"At leading O(delta^2 epsilon^2), an epsilon-independent homogeneous isotropic dark source does not alter this anisotropy-induced coefficient."
3,1,0.0,2.5,0.05,case_IIIa,Case III-a: homogeneous adjoint scalar,III-a_Phi_0p4,mu_c,mu_c,critical chemical potential,14.934525239853269,1.0,14.934525239853269,14.934525239853269,1.0,v98_FULL_D345_off_locus_HEE_all_cases.csv,strict_or_selection_rule,"At leading O(delta^2 epsilon^2), an epsilon-independent homogeneous isotropic dark source does not alter this anisotropy-induced coefficient."
3,1,0.0,3.0,0.05,case_IIIa,Case III-a: homogeneous adjoint scalar,III-a_Phi_0p4,mu_c,mu_c,critical chemical potential,17.12809984132014,1.0,17.12809984132014,17.12809984132014,1.0,v98_FULL_D345_off_locus_HEE_all_cases.csv,strict_or_selection_rule,"At leading O(delta^2 epsilon^2), an epsilon-independent homogeneous isotropic dark source does not alter this anisotropy-induced coefficient."
3,1,0.0,4.0,0.05,case_IIIa,Case III-a: homogeneous adjoint scalar,III-a_Phi_0p4,mu_c,mu_c,critical chemical potential,21.54607349573798,1.0,21.54607349573798,21.54607349573798,1.0,v98_FULL_D345_off_locus_HEE_all_cases.csv,strict_or_selection_rule,"At leading O(delta^2 epsilon^2), an epsilon-independent homogeneous isotropic dark source does not alter this anisotropy-induced coefficient."
3,1,0.0,5.0,0.05,case_IIIa,Case III-a: homogeneous adjoint scalar,III-a_Phi_0p4,mu_c,mu_c,critical chemical potential,25.969354489760214,1.0,25.969354489760214,25.969354489760214,1.0,v98_FULL_D345_off_locus_HEE_all_cases.csv,strict_or_selection_rule,"At leading O(delta^2 epsilon^2), an epsilon-independent homogeneous isotropic dark source does not alter this anisotropy-induced coefficient."
3,1,0.5,1.0,0.05,case_IIIa,Case III-a: homogeneous adjoint scalar,III-a_Phi_0p4,mu_c,mu_c,critical chemical potential,3.8421032405130298,1.0,3.8421032405130298,3.8421032405130298,1.0,v98_FULL_D345_off_locus_HEE_all_cases.csv,strict_or_selection_rule,"At leading O(delta^2 epsilon^2), an epsilon-independent homogeneous isotropic dark source does not alter this anisotropy-induced coefficient."
3,1,0.5,1.5,0.05,case_IIIa,Case III-a: homogeneous adjoint scalar,III-a_Phi_0p4,mu_c,mu_c,critical chemical potential,7.901166941936064,1.0,7.901166941936064,7.901166941936064,1.0,v98_FULL_D345_off_locus_HEE_all_cases.csv,strict_or_selection_rule,"At leading O(delta^2 epsilon^2), an epsilon-independent homogeneous isotropic dark source does not alter this anisotropy-induced coefficient."
3,1,0.5,2.0,0.05,case_IIIa,Case III-a: homogeneous adjoint scalar,III-a_Phi_0p4,mu_c,mu_c,critical chemical potential,10.892535630157733,1.0,10.892535630157733,10.892535630157733,1.0,v98_FULL_D345_off_locus_HEE_all_cases.csv,strict_or_selection_rule,"At leading O(delta^2 epsilon^2), an epsilon-independent homogeneous isotropic dark source does not alter this anisotropy-induced coefficient."
3,1,0.5,2.5,0.05,case_IIIa,Case III-a: homogeneous adjoint scalar,III-a_Phi_0p4,mu_c,mu_c,critical chemical potential,13.556164548533644,1.0,13.556164548533644,13.556164548533644,1.0,v98_FULL_D345_off_locus_HEE_all_cases.csv,strict_or_selection_rule,"At leading O(delta^2 epsilon^2), an epsilon-independent homogeneous isotropic dark source does not alter this anisotropy-induced coefficient."
3,1,0.5,3.0,0.05,case_IIIa,Case III-a: homogeneous adjoint scalar,III-a_Phi_0p4,mu_c,mu_c,critical chemical potential,16.062733212138827,1.0,16.062733212138827,16.062733212138827,1.0,v98_FULL_D345_off_locus_HEE_all_cases.csv,strict_or_selection_rule,"At leading O(delta^2 epsilon^2), an epsilon-independent homogeneous isotropic dark source does not alter this anisotropy-induced coefficient."
3,1,0.5,4.0,0.05,case_IIIa,Case III-a: homogeneous adjoint scalar,III-a_Phi_0p4,mu_c,mu_c,critical chemical potential,20.844977305450904,1.0,20.844977305450904,20.844977305450904,1.0,v98_FULL_D345_off_locus_HEE_all_cases.csv,strict_or_selection_rule,"At leading O(delta^2 epsilon^2), an epsilon-independent homogeneous isotropic dark source does not alter this anisotropy-induced coefficient."
3,1,0.5,5.0,0.05,case_IIIa,Case III-a: homogeneous adjoint scalar,III-a_Phi_0p4,mu_c,mu_c,critical chemical potential,25.475765730521424,1.0,25.475765730521424,25.475765730521424,1.0,v98_FULL_D345_off_locus_HEE_all_cases.csv,strict_or_selection_rule,"At leading O(delta^2 epsilon^2), an epsilon-independent homogeneous isotropic dark source does not alter this anisotropy-induced coefficient."
3,1,1.0,1.0,0.05,case_IIIa,Case III-a: homogeneous adjoint scalar,III-a_Phi_0p4,mu_c,mu_c,critical chemical potential,3.649645412991184,1.0,3.649645412991184,3.649645412991184,1.0,v98_FULL_D345_off_locus_HEE_all_cases.csv,strict_or_selection_rule,"At leading O(delta^2 epsilon^2), an epsilon-independent homogeneous isotropic dark source does not alter this anisotropy-induced coefficient."
3,1,1.0,1.5,0.05,case_IIIa,Case III-a: homogeneous adjoint scalar,III-a_Phi_0p4,mu_c,mu_c,critical chemical potential,7.114968211989941,1.0,7.114968211989941,7.114968211989941,1.0,v98_FULL_D345_off_locus_HEE_all_cases.csv,strict_or_selection_rule,"At leading O(delta^2 epsilon^2), an epsilon-independent homogeneous isotropic dark source does not alter this anisotropy-induced coefficient."
3,1,1.0,2.0,0.05,case_IIIa,Case III-a: homogeneous adjoint scalar,III-a_Phi_0p4,mu_c,mu_c,critical chemical potential,10.117994513244424,1.0,10.117994513244424,10.117994513244424,1.0,v98_FULL_D345_off_locus_HEE_all_cases.csv,strict_or_selection_rule,"At leading O(delta^2 epsilon^2), an epsilon-independent homogeneous isotropic dark source does not alter this anisotropy-induced coefficient."
3,1,1.0,2.5,0.05,case_IIIa,Case III-a: homogeneous adjoint scalar,III-a_Phi_0p4,mu_c,mu_c,critical chemical potential,12.868591368058356,1.0,12.868591368058356,12.868591368058356,1.0,v98_FULL_D345_off_locus_HEE_all_cases.csv,strict_or_selection_rule,"At leading O(delta^2 epsilon^2), an epsilon-independent homogeneous isotropic dark source does not alter this anisotropy-induced coefficient."
3,1,1.0,3.0,0.05,case_IIIa,Case III-a: homogeneous adjoint scalar,III-a_Phi_0p4,mu_c,mu_c,critical chemical potential,15.466901239536144,1.0,15.466901239536144,15.466901239536144,1.0,v98_FULL_D345_off_locus_HEE_all_cases.csv,strict_or_selection_rule,"At leading O(delta^2 epsilon^2), an epsilon-independent homogeneous isotropic dark source does not alter this anisotropy-induced coefficient."
3,1,1.0,4.0,0.05,case_IIIa,Case III-a: homogeneous adjoint scalar,III-a_Phi_0p4,mu_c,mu_c,critical chemical potential,20.402472345814942,1.0,20.402472345814942,20.402472345814942,1.0,v98_FULL_D345_off_locus_HEE_all_cases.csv,strict_or_selection_rule,"At leading O(delta^2 epsilon^2), an epsilon-independent homogeneous isotropic dark source does not alter this anisotropy-induced coefficient."
3,1,1.0,5.0,0.05,case_IIIa,Case III-a: homogeneous adjoint scalar,III-a_Phi_0p4,mu_c,mu_c,critical chemical potential,25.14603778034409,1.0,25.14603778034409,25.14603778034409,1.0,v98_FULL_D345_off_locus_HEE_all_cases.csv,strict_or_selection_rule,"At leading O(delta^2 epsilon^2), an epsilon-independent homogeneous isotropic dark source does not alter this anisotropy-induced coefficient."
