D,d,theta,z,case_id,case_label,quantity,delta2,nu_target,epsilon,mu_target,Omega_ren,dOmega_vs_iso,y_value,y_label,success,accepted,residual_inf,source,vev,psi_abs,psi_sq,A_max,hee_o12_W030,S_parallel_W030,S_perp_W030,reliability_class,source_rule,recommended_use,notes
4,2,0.5,1.0,visible_baseline,Visible baseline,renormalized_grand_potential_restricted_D4,0.05,0.0,0.03,2.309401076758503,-1.3338574571928938,0.0001085595091343,0.0001085595091343,Delta Omega_ren vs isotropic branch,True,True,0.0029321105040594,1.1931243800909573e-07,0.0035536051592051,0.0035536051592051,1.2628109627529224e-05,5.176754279900827e-08,1.9062554201809693e-08,3427.75384111168,3427.753841130743,restricted_D4_analytic_island_candidate_not_full_D345_grid,strict_restricted_D4_reference,appendix_or_scope_check_not_main_grid,"Existing restricted D=4 analytic-island scan. It is not a D=3,4,5 full renormalized grand-potential atlas."
4,2,0.5,1.0,visible_baseline,Visible baseline,renormalized_grand_potential_restricted_D4,0.05,0.0,0.06,2.309401076758503,-1.3337832129643763,0.0001828037376516,0.0001828037376516,Delta Omega_ren vs isotropic branch,True,True,0.0029556497537543,2.386110816673167e-07,0.0071067997307273,0.0071067997307273,5.050660241266615e-05,2.070784283081544e-07,7.626431397511625e-08,3427.7538417187525,3427.753841795017,restricted_D4_analytic_island_candidate_not_full_D345_grid,strict_restricted_D4_reference,appendix_or_scope_check_not_main_grid,"Existing restricted D=4 analytic-island scan. It is not a D=3,4,5 full renormalized grand-potential atlas."
4,2,0.5,1.0,visible_baseline,Visible baseline,renormalized_grand_potential_restricted_D4,0.05,0.0,0.09,2.309401076758503,-1.3336594546580307,0.0003065620439974,0.0003065620439974,Delta Omega_ren vs isotropic branch,True,True,0.0029753819360757,3.57911945089224e-07,0.0106600609461664,0.0106600609461664,0.0001136368993759,4.659298846172872e-07,1.7160209608846347e-07,3427.7538427431423,3427.7538429147444,restricted_D4_analytic_island_candidate_not_full_D345_grid,strict_restricted_D4_reference,appendix_or_scope_check_not_main_grid,"Existing restricted D=4 analytic-island scan. It is not a D=3,4,5 full renormalized grand-potential atlas."
4,2,0.5,1.0,visible_baseline,Visible baseline,renormalized_grand_potential_restricted_D4,0.05,0.0,0.12,2.309401076758503,-1.333486187388552,0.0004798293134762,0.0004798293134762,Delta Omega_ren vs isotropic branch,True,True,0.0030020594806052,4.772071950123703e-07,0.0142131557635969,0.0142131557635969,0.0002020137967602,8.283283094511895e-07,3.050695340789389e-07,3427.753844177253,3427.7538444823226,restricted_D4_analytic_island_candidate_not_full_D345_grid,strict_restricted_D4_reference,appendix_or_scope_check_not_main_grid,"Existing restricted D=4 analytic-island scan. It is not a D=3,4,5 full renormalized grand-potential atlas."
4,2,0.5,1.0,visible_baseline,Visible baseline,renormalized_grand_potential_restricted_D4,0.05,0.0,0.16,2.309401076758503,-1.3331781403830152,0.000787876319013,0.000787876319013,Delta Omega_ren vs isotropic branch,True,True,0.003200203077565,6.36255560156518e-07,0.0189502607559017,0.0189502607559017,0.0003591123827166,1.472610572909811e-06,5.423266884463374e-07,3427.753846726718,3427.753847269045,restricted_D4_analytic_island_candidate_not_full_D345_grid,strict_restricted_D4_reference,appendix_or_scope_check_not_main_grid,"Existing restricted D=4 analytic-island scan. It is not a D=3,4,5 full renormalized grand-potential atlas."
4,2,0.5,1.0,visible_baseline,Visible baseline,renormalized_grand_potential_restricted_D4,0.05,0.0,0.2,2.309401076758503,-1.3327823143693658,0.0011837023326624,0.0011837023326624,Delta Omega_ren vs isotropic branch,True,True,0.0035332372576313,7.95236259730172e-07,0.0236853527984354,0.0236853527984354,0.0005609959371863,2.301039758691883e-06,8.473880370729603e-07,3427.7538498092645,3427.7538506566525,restricted_D4_analytic_island_candidate_not_full_D345_grid,strict_restricted_D4_reference,appendix_or_scope_check_not_main_grid,"Existing restricted D=4 analytic-island scan. It is not a D=3,4,5 full renormalized grand-potential atlas."
4,2,0.5,1.0,visible_baseline,Visible baseline,renormalized_grand_potential_restricted_D4,0.05,0.0,0.03,2.378683109061258,-1.3557012222367932,0.0001091509349353,0.0001091509349353,Delta Omega_ren vs isotropic branch,True,True,0.0029507268791531,1.312345441070121e-07,0.0036806670307042,0.0036806670307042,1.3547309790913084e-05,5.10098231345998e-08,1.8831087800208482e-08,3427.7581041670696,3427.7581041859007,restricted_D4_analytic_island_candidate_not_full_D345_grid,strict_restricted_D4_reference,appendix_or_scope_check_not_main_grid,"Existing restricted D=4 analytic-island scan. It is not a D=3,4,5 full renormalized grand-potential atlas."
4,2,0.5,1.0,visible_baseline,Visible baseline,renormalized_grand_potential_restricted_D4,0.05,0.0,0.06,2.378683109061258,-1.355627839034402,0.0001825341373264,0.0001825341373264,Delta Omega_ren vs isotropic branch,True,True,0.0036762676314301,2.6246704183762305e-07,0.007361276939867,0.007361276939867,5.418839818541875e-05,2.0404021552485426e-07,7.534436008427292e-08,3427.758104789413,3427.7581048647576,restricted_D4_analytic_island_candidate_not_full_D345_grid,strict_restricted_D4_reference,appendix_or_scope_check_not_main_grid,"Existing restricted D=4 analytic-island scan. It is not a D=3,4,5 full renormalized grand-potential atlas."
4,2,0.5,1.0,visible_baseline,Visible baseline,renormalized_grand_potential_restricted_D4,0.05,0.0,0.09,2.378683109061258,-1.3555055530808076,0.000304820090921,0.000304820090921,Delta Omega_ren vs isotropic branch,True,True,0.0029940655988401,3.936758753452142e-07,0.0110412236931388,0.0110412236931388,0.0001219086206419,4.591107273898388e-07,1.695034370641224e-07,3427.7581058191604,3427.758105988664,restricted_D4_analytic_island_candidate_not_full_D345_grid,strict_restricted_D4_reference,appendix_or_scope_check_not_main_grid,"Existing restricted D=4 analytic-island scan. It is not a D=3,4,5 full renormalized grand-potential atlas."
4,2,0.5,1.0,visible_baseline,Visible baseline,renormalized_grand_potential_restricted_D4,0.05,0.0,0.12,2.378683109061258,-1.3553343277161898,0.0004760454555388,0.0004760454555388,Delta Omega_ren vs isotropic branch,True,True,0.0030205531132578,5.248916168087698e-07,0.014721365007652,0.014721365007652,0.0002167185876885,8.16205464405285e-07,3.013469722645823e-07,3427.75810727124,3427.7581075725866,restricted_D4_analytic_island_candidate_not_full_D345_grid,strict_restricted_D4_reference,appendix_or_scope_check_not_main_grid,"Existing restricted D=4 analytic-island scan. It is not a D=3,4,5 full renormalized grand-potential atlas."
